start	end	text
449680	452680	Er stellt uns vor, seid mal ruhig.
452680	461680	Nun gut, äh, die Kontrahenten in der linken Ecke, das erste Team, das, äh, wie heißt das hier?
461680	462680	FFM Team.
462680	464680	Ah, das FFM Team, ja.
465680	468680	MC Don und DJ Sid hier.
468680	469680	Egal, das ist eine Ehe.
469680	472680	Und in der anderen Ecke steht das zweite Team.
472680	477680	Das zweite Team ist ein Pärchen, was schon viel erlebt hat.
477680	481680	Ein Küsschen und ein Mawball.
481680	485680	Ja, auch sie können natürlich die Besten sein, sicherlich.
485680	486680	Hallo.
486680	488680	Miriam, ich freue mich schon so drauf.
488680	491680	Meinst du wirklich, wir haben eine Chance zu gewinnen?
491680	497680	Ich als Mawball, Princessin, BWC-Katastrophe.
497680	501680	Können wir endlich Zirkuskleider tragen, das wird aufregend.
501680	508680	Und das dritte und letzte Team, das ist eigentlich gar kein Team, denn das ist irgendwie nur einer.
508680	509680	Fragen wir doch mal.
509680	511680	Es ist Blister.
511680	515680	Blister, wenn ich bitten darf.
515680	518680	Mein Name ist Blister.
518680	521680	Ja, wie ich schon gesagt habe, richtig, ja, genau.
521680	526680	Und warum sind Sie nun alleine hier als Team? Sie allein?
526680	530680	Ich brauche keine anderen Mitstreiter.
530680	533680	Ich werde alleine der Beste sein.
533680	539680	Ja, die Besten, wie ich schon sagte, nur die Besten sind hier, die allerbesten.
539680	542680	Und jetzt fangen wir aber auch schon an mit unserem Wettbewerb.
542680	547680	Denn die erste Runde ist eine sportliche Aktivität, die wir hier vollbringen wollen.
547680	553680	Es ist anstrengend, es ist nass und es ist was für richtige Kerle.
553680	558680	Der erste Wettbewerb ist das unglaubliche Wettangeln.
558680	561680	Möge der Beste gewinnen.
566680	568680	Angeln ist langweilig, Sid.
568680	571680	Wir haben noch nicht mal angefangen. Du hast die Angeln noch nicht mal eingeworfen.
571680	574680	Ja, aber das machen nur alte Menschen.
574680	579680	Alte Menschen sitzen am Fluss und angeln, stundenlang, stundenlang.
579680	581680	Ich habe darauf keine Lust mehr.
581680	583680	Du kannst dabei in der Sonne sitzen.
583680	588680	Ja, aber das steht man so und hält da so und dann, dann, dann, dann.
588680	589680	Einfach mal.
589680	591680	Man platscht da rum in Wasser.
591680	594680	Das ist was für alte Männer. Ich mache doch nicht Sachen, die alte Männer machen.
594680	597680	Das machen doch nicht nur alte Männer, das machen alle möglichen Leute.
597680	598680	Ja, wer denn?
598680	601680	Küsschen, Morgens, Spangas.
601680	604680	Ja, es ist ja auch dieser Wettbewerb, deswegen machen das die Leute.
604680	607680	Du kannst dich nur nicht darauf einlassen. Das ist dein Problem.
607680	609680	Natürlich kann ich mich darauf einlassen.
609680	610680	Offensichtlich nicht.
610680	611680	Doch.
611680	614680	Dann gib jetzt Ruhe, setz dich hin und fang den größten Fisch.
614680	615680	Ja, natürlich.
615680	617680	Dann fang ich den größten Fisch.
617680	618680	Ja, natürlich.
618680	620680	Fang den größten Chagrin, den ich je gesehen habe.
620680	621680	Ja, kein Problem.
621680	623680	Ja, und jetzt?
623680	625680	Geduld heißt das Stichwort.
625680	626680	Geduld.
626680	627680	Genau, Geduld.
627680	628680	Und wie lang?
628680	629680	Was für ein Köder hast du überhaupt benutzt?
629680	630680	Was?
630680	631680	Ein Köder.
631680	632680	Was?
632680	633680	Was hast du denn vorne dran?
633680	634680	Ich hab's reingeschmissen, die Angel.
634680	635680	Wie du gesagt hast, ich schmeiße die Angel rein.
635680	636680	Du verstehst ja wirklich gar nichts.
636680	643680	Man muss doch ein Köder, irgendwas, was die Viecher gerne mögen, dass sie anzieht und dann sie animiert dazu, reinzubeißen.
643680	645680	Hast du noch dein Sandwich?
645680	646680	Das ist mein Sandwich.
646680	647680	Ja, aber sonst fangen wir nie was hier.
647680	648680	Komm.
648680	649680	Nein, aber...
649680	651680	Ja, denn nur, es muss ja nicht das Ganze sein.
651680	652680	Obwohl, wenn wir den großen...
652680	654680	Wir hängen jetzt das ganze Sandwich daran.
654680	655680	Nein.
655680	659680	Gibt's da nicht irgendwas anderes, das man ran hängt auf mein Sandwich?
660680	662680	Es dient einem höheren Zweck.
662680	663680	Ja.
663680	665680	Und jetzt warten wir.
665680	666680	Warten.
666680	667680	Ja.
672680	674680	Hör mal auf zu quietschen, ich muss dich aufs Angeln konzentrieren.
674680	676680	Ich quietsch nicht, ich warte.
676680	677680	Du kannst nicht warten, ich kenn dich.
677680	679680	Du musst immer irgendwie rum.
679680	682680	Nein, du hast gesagt, ich soll mich drauf einlassen, jetzt lass ich mich drauf ein und warte, mache nichts.
682680	683680	Ich hör aber quietschen.
683680	684680	Ja, ich hör auch.
684680	685680	Und was quietscht dann?
685680	686680	Weiß ich doch nicht.
686680	689680	Das ist wahrscheinlich mein Magen, weil du meinen Sandwich da benutzt hast.
689680	691680	Als ob dein Magen quietschen könnte.
691680	693680	Da schwimmt ein Sack im Wasser.
693680	697680	Ich glaub, von diesem Sack aus kommen die quietsch Geräusche.
697680	699680	Dann hoffe ich für dich, dass da jetzt ein quietschender Fisch drin ist.
699680	700680	Mit dem wir gewinnen können.
700680	701680	Auf jeden Fall.
701680	702680	Das Zirkus hält.
702680	703680	Und wir müssen nicht mehr warten.
703680	705680	Wir müssen nicht mehr warten.
705680	707680	Herr mit dem Sack.
707680	709680	Komm, jetzt hilf mir den Sack rauszuholen.
709680	710680	Ja, Moment.
710680	712680	So, eins, zwei, drei.
712680	713680	Echt?
715680	716680	Wir haben den Fisch.
716680	719680	Den bringen wir jetzt dem Heidegger und dann gewinnen wir das Zirkus.
719680	721680	Wollen wir nicht vorher mal nachgucken?
721680	722680	Nein.
722680	724680	Aber wir haben noch ein bisschen Zeit.
724680	725680	Nein, nein, nein.
725680	730680	Je schneller wir dort sind, desto eher bekommen wir einen Anfängerbonus und haben so Sympathiepunkte.
730680	731680	Weißt du, ich kenne mich da aus.
731680	734680	Man muss sympathisch sein, man muss als Erster sein, man muss ganz schnell sein.
734680	737680	Und dann bist du da, zeigst den Fisch, boom, hast du gewonnen.
737680	739680	Aber es macht doch gerade so viel Spaß.
739680	743680	Nein, wir warten ist blöd.
743680	745680	Langweilig und nur für alte Männer, mein Gott.
745680	746680	Komm jetzt.
746680	747680	Aber das ist nicht warten.
747680	748680	Jetzt komm.
748680	749680	Das ist angeln.
750680	752680	Und die Zeit ist um.
752680	757680	Nun, liebe Teilnehmer, dann zeigt doch mal, was ihr geangelt habt.
757680	758680	Los, los, los.
758680	763680	Also, hier, wir haben einen Sack, also einen Fisch im Sack.
763680	764680	Das ist ein Fisch im Sack.
764680	765680	Ihr müsst auch gar nicht lange warten.
765680	766680	Wir haben ihn sofort geangelt.
766680	770680	Wir haben ihn zum Transport in den Sack getan, weil er so groß ist.
770680	774680	Fisch im Sack, eine interessante Technik.
774680	777680	Dann packt ihn doch mal aus, den großen Fisch.
777680	780680	Los, packen wir den Fisch aus, den Quietschfisch im Sack.
783680	784680	Das ist kein Fisch.
785680	789680	Aha, was ist denn das?
789680	792680	Das sind mehrere Fische.
792680	795680	Hey, wir haben viele Fische, viele Fische mit vier Beinen.
795680	797680	Welche sind seine Einzelteile?
797680	801680	Ich glaube, das sind Mombas.
801680	802680	Ja, Fischmombas.
802680	804680	Wir schauen uns einfach die anderen Teilnehmer an.
804680	806680	Wieso hätten wir ein bisschen länger gewartet?
806680	808680	Nun, Küsschen, was hast du dir geangelt?
808680	812680	Ja, ich habe diesen großartigen Tentakelfisch geangelt.
812680	814680	Er ist noch ganz glitschig und glibberig.
816680	817680	Ich bin ein Fisch.
818680	819680	Habe ich jetzt gewonnen?
820680	823680	Wo ist noch gleich deine Partnerin, Küsschen?
825680	826680	Auf der Toilette.
828680	829680	Fisch?
829680	835680	Und wir haben ja noch einen dritten Teilnehmer, der vielleicht tatsächlich doch einen Fisch geangelt haben könnte.
835680	837680	Ich bin doch ein Fisch.
838680	840680	Nun bist du da, was hast du denn geangelt?
841680	851680	Nun, ich habe noch nichts geangelt, aber ich zeige dir jetzt meinen Fisch, den ich mir holen werde.
852680	856680	Livyatan, ich beschwöre dich, Livyatan.
857680	859680	Komm herbei, Livyatan.
860680	863680	Dein großer Livyatan, komm aus dem Meer.
864680	867680	Komm und zeige dich, Livyatan.
870680	873680	Sit, Sit, siehst du das, was ich sehe?
874680	875680	Ein Fisch?
875680	876680	Ein großer Fisch.
877680	878680	Das ist zu groß.
878680	880680	Ich glaube, wir haben verloren.
880680	881680	Ich glaube auch.
882680	887680	Und damit haben wir wohl einen Gewinner in der ersten Runde.
888680	891680	Das Team Bistar gewinnt den ersten Wettbewerb.
893680	898680	Doch das muss noch nichts heißen, denn wir machen gleich weiter unser zweiter Wettbewerb.
899680	904680	Unser zweiter Wettbewerb steckt voller Spannung, voller Spaß und voller Essen.
905680	909680	Denn der zweite Wettbewerb heißt, wer kocht am besten.
910680	915680	Und um dies am besten zu beurteilen zu können, haben wir uns einen Gast eingeladen.
916680	919680	Es ist eine Kapazität auf dem Gebiet der Speisen.
920680	922680	Unsere reizende Queena.
923680	925680	Ja, heißiger Dank.
926680	933680	Ich bin sehr froh, hier bei dieser Sendung viele Geschmäcker, also viele Rezepte, vieles Essen zu probieren.
933680	935680	Weil vieles Essen ist wichtig.
936680	940680	Und es ist immer wichtig, neues Essen zu essen.
941680	942680	Was ist dagegen?
942680	945680	Auf die Töpfe, fertig, los!
949680	953680	Ja, was kochen wir denn? Was mag Queena gern? Hast du eine Ahnung?
953680	954680	Queena mag gern...
955680	956680	Wir haben das jetzt...
956680	957680	Queena, Queena...
957680	960680	Oh, oh, weißt du noch, als ich in Wut heil, das ist schon etwas her,
960680	967680	aber da war ich ja bei einer Queen-Gastfamilie und da habe ich so einiges mitbekommen, was die Queen so gerne essen.
967680	968680	Nämlich...
968680	969680	Dein Audi-Book.
969680	970680	Nämlich Puddingen.
970680	971680	Puddingen?
971680	973680	Ja, ja, ja. Queenas lieben Puddingen.
974680	975680	Bist du dir sicher?
975680	978680	Ja, natürlich bin ich mir sicher. Ich kann mich an alles erinnern. Queenas lieben Puddingen.
979680	983680	Hast du eine Ahnung, womit man Pudding kocht, also was für Zutaten, was braucht man dafür?
984680	987680	Wir brauchen... hier, da Gieserkraut nehmen wir.
987680	988680	In den Puddingen?
988680	991680	Ja, ja, klar, natürlich. Das muss ja ein bisschen in die Schärfe.
991680	996680	Dann noch ein Äther, ein Gegengiftdrank, damit das Queena auch nicht vergiftet wird.
996680	997680	Das schmeckt doch nicht.
997680	1000680	Ja, aber das darf ja auch nicht vergiftet werden, das Ding da.
1000680	1002680	Und, ah, hier, Momba.
1003680	1004680	Steck die Mombas wieder weg.
1004680	1006680	Wir müssen doch irgendwas mit diesen Mombas anstellen.
1006680	1009680	Ja, aber du wirst die kleinen süßen Tierchen bestimmt nicht hier verkochen.
1009680	1012680	Aber das muss doch irgendwie fest werden. Da benutzen wir...
1012680	1013680	Sand.
1013680	1014680	Sand?
1014680	1015680	Liegt ja genug rum.
1015680	1018680	Ja, das müssen wir jetzt auch alles vermanschen, also richtig schön vermanschen.
1019680	1022680	Du Schwein, pass doch mal auf, wo du hin schlabberst.
1023680	1027680	Wenn du so weitermachst, ist die Hälfte davon auch in deinem Hemd drin.
1027680	1030680	Guck mal, jetzt ist fast schon so eine Form.
1030680	1035680	So ganz unähnlich sieht es einem Pudding nicht. Da hast du recht.
1035680	1036680	Und jetzt Dekoration?
1037680	1039680	Ich hab dir das verboten. Steck das sofort wieder weg.
1039680	1040680	Ja.
1040680	1042680	Und da ist die Zeit auch schon wieder um.
1042680	1047680	Wir werden einmal schauen, was unsere Kandidaten hier zusammengebacken haben.
1047680	1050680	Beginnen wir diesmal mit dem Team Küsschen.
1051680	1053680	Was habt ihr diesmal geschafft?
1053680	1058680	Also, Queena, sieht ja so aus, als müssten sie mal langsam auf ihre schlanke Linie achten.
1058680	1059680	Das sehe ich genau.
1059680	1065680	Deshalb haben wir einen gesunden und wohlschmeckenden Salat zubereitet.
1065680	1066680	Hm, hier.
1066680	1071680	Falls es so aussieht, als würde sich der Salat bewegen, das ist eine optische Täuschung.
1072680	1073680	Ich bin ein Salat.
1075680	1081680	Ah ja, sehr interessant. Und wo steckt noch mal gleich Myriam?
1082680	1084680	Die ist immer noch auf der Toilette.
1085680	1086680	Salat?
1086680	1090680	Nun gut, dann lassen wir doch unseren Preisrichter entscheiden.
1091680	1093680	Queena, möchtest du einmal probieren?
1093680	1100680	Mh, ja. Also, Salat ist ja normalerweise nicht so mein Ding.
1100680	1103680	Aber lass mich mal probieren.
1110680	1113680	Was machst du denn da? Warum isst du denn das?
1113680	1116680	Das ist ein Wegbewerb. Ich soll dir das lassen.
1116680	1129680	Ja, war ganz lecker. Ein bisschen schleimig. Aber der Nachgeschmack ist, naja, etwas giftig. Stinkig.
1132680	1133680	Aber das war doch...
1134680	1136680	Das ist ein Wegbewerb.
1136680	1143680	Nun gut, dann schauen wir uns doch mal an, was Blister gekocht hat.
1143680	1149680	Das ist jetzt sehr, sehr zahle.
1149680	1153680	Denn ich habe lange keine Ahnung, was das ist.
1153680	1155680	Was ist das denn?
1155680	1157680	Das ist ein Blister.
1157680	1159680	Das ist ein Blister.
1159680	1161680	Das ist ein Blister.
1161680	1165680	Das ist sehr, sehr zahle.
1165680	1170680	Denn ich habe leider noch nichts gekocht.
1170680	1176680	Dabei will ich doch gerne diesen Wettbewerb gewinnen.
1176680	1183680	Aber mir ist nichts eingefallen, was ich hätte kochen können.
1183680	1185680	Das ist Aden.
1185680	1188680	Ja, das ist natürlich sehr schade nach so einem Start.
1188680	1192680	Jetzt so ein Armutszeugnis hier. Es ist traurig.
1192680	1196680	Aber gut, wollen wir erst mal schauen, was diese Runde noch so ansteht.
1196680	1201680	Das Team FFM muss uns ja noch sein Ergebnis präsentieren.
1201680	1204680	Ganz liebevoll haben wir gemacht, nämlich einen Pudding.
1204680	1206680	Passend jetzt nach dem Salat ein Dessert.
1206680	1211680	Ein Dessert, aber ein Dessert, das viel besser ist als ein Salat, weil es ja ein Dessert ist.
1211680	1212680	Und Desserts sind immer lecker.
1212680	1214680	Ich glaube, die Leute haben es verstanden.
1214680	1215680	Also ein Pudding.
1215680	1216680	Jeder mag Pudding.
1216680	1219680	Nun, dann lassen wir doch mal, Queena, probieren.
1219680	1223680	Pudding mag ich eigentlich nicht so gern.
1223680	1226680	Ich hätte auch eigentlich gerne mal einen Frost gegessen.
1226680	1229680	Warum hat denn hier keiner einen Frost gekocht?
1229680	1233680	Aber sehr gut, ich werde diesen Pudding probieren.
1236680	1243680	Etwas interessant, aber etwas kornig.
1243680	1248680	Kornig, aber nicht besser als der Salat.
1248680	1251680	Da fehlt so etwas Fettiges.
1251680	1255680	Fettiges, saftiges, deftiges.
1255680	1257680	Cid, das Ding da schaut mich an.
1257680	1260680	Ich sage dir, du hättest nicht so viel auf dein Hemd kleckern sollen.
1260680	1262680	Das ist noch voller Pudding.
1262680	1265680	Zeig mal, da ist doch noch was auf dir drauf.
1265680	1267680	Das muss weg.
1267680	1269680	Cid, Cid.
1269680	1271680	Jetzt isst den nicht auch noch auf.
1271680	1272680	Den brauche ich noch.
1272680	1275680	Nein, Cid, das Ding kommt mir gefährlich nahe.
1278680	1280680	Jetzt schmeckt das richtig gut.
1280680	1281680	Zunge!
1281680	1283680	Jetzt schmeckt das richtig gut.
1283680	1285680	Hilfe, Cid, Hilfe!
1285680	1286680	Zunge weg!
1291680	1293680	Ich bin voll geschleimt, Cid.
1293680	1297680	Also, das war eine Erfahrung wert.
1297680	1301680	Kann man sagen, das war ein neuer Geschmack.
1301680	1305680	Schmeckt unbefreitlich lecker.
1305680	1307680	Was ist dagegen?
1307680	1309680	Ja, ich habe was dagegen.
1309680	1311680	Ich bin voll geschleimt.
1311680	1313680	Ich glaube, das war eine rhetorische Frage.
1313680	1316680	Damit steht der Gewinner der zweiten Runde fest.
1316680	1321680	Es ist mit großem Abstand DJ Don als leckerster Teilnehmer.
1321680	1323680	Ja, ich bin lecker, Cid.
1323680	1324680	Und voll geschleimt?
1324680	1325680	Ja!
1328680	1329680	Wie geht's?
1332680	1337680	Bevor wir jetzt zu unserem letzten und alles entscheidenden Wettbewerb kommen,
1337680	1340680	will ich noch einmal kurz den Zwischenstand erläutern.
1340680	1345680	Den ersten Wettbewerb hat Bista mit einem riesigen Leviathan gewonnen.
1345680	1352680	Doch im zweiten Wettbewerb konnten DJ Don und MC Cid aufholen, indem sich DJ Don einmal abschlecken ließ.
1352680	1358680	Und nun wird sich zeigen, wer am Ende der Sieger sein wird bei unserem dritten Wettbewerb.
1358680	1365680	Sie müssen sich in unserem dritten Wettbewerb als große Moderatoren beweisen und ein Lied ansagen.
1365680	1366680	Moderatoren?
1366680	1367680	Hast du das gehört?
1367680	1369680	Das Lied ansagen?
1369680	1370680	Das ist doch kein Kinderspiel.
1370680	1372680	Das ist unser Ding. Machen wir sofort.
1372680	1375680	Und nun werde ich das Lied verkünden, was ihr ansagen werdet.
1375680	1381680	Es ist ein Lied von unserem fantastischen Meister Nobuo Uematsu.
1381680	1386680	Und er hat das Lied geschrieben, The Chef Who Used His Noodle.
1388680	1407680	Und unser erster Teilnehmer wird jetzt auch beginnen. Ihr ist Bista, Bühne frei.
1407680	1412680	Nun, nun gut, dann werde ich das mal probieren.
1412680	1417680	Jetzt kommt das Lied.
1419680	1425680	Ja, bist du schon fertig? Na gut, dann kommt jetzt das zweite Team.
1425680	1427680	Team Küsschen, los geht's.
1427680	1450680	Nun, nach diesen zwei sehr fragwürdigen Darbietungen schauen wir uns doch mal an, was unser drittes Team noch zu bieten hat.
1450680	1454680	Bühne frei für DJ Don und MC Sit.
1455680	1457680	Das wird super, MC Sit.
1457680	1458680	Kein Problem, habe ich sofort gemacht.
1458680	1460680	Dann fängt an, ich fange an, oder?
1460680	1462680	Nee, ich fange an natürlich.
1462680	1463680	Wieso?
1463680	1466680	Na ja, weil ich einfach viel mehr Erfahrung mit Moderatoren habe.
1466680	1467680	Du verwasselst es doch eh nur wieder.
1467680	1468680	Was heißt ich verwasselst was?
1468680	1470680	Du versprichst dich dann.
1470680	1472680	Nein, ich verspreche mich, warum habe ich dir mit jemandem versprochen?
1472680	1475680	Du weißt nie, wie die Lieder heißen. Die Lieder muss ich dir immer vorsagen.
1475680	1478680	Was? Es ist doch egal, wie die Lieder heißen. Das Lied ist ein Lied.
1478680	1479680	Nein.
1479680	1482680	Und außerdem ist es so, dass wir immer vom gleichen Komponisten in dem Sinne sind, was wir in einer Gruppe sagen.
1482680	1483680	Nein, das ist nicht.
1483680	1485680	Dann hören sie doch alle gleich an, diese dummen Lieder.
1485680	1488680	Siehst du, du hast nicht mal die richtige Einstellung dazu.
1488680	1490680	Du kannst sie doch nicht einfach runter machen und dann heißen.
1492680	1493680	Das ist heuchlerisch.
1493680	1495680	Was ist denn daran heuchlerisch?
1495680	1498680	Ja, du tust so, wir spielen jetzt ein ganz tolles Lied und du findest es scheiße.
1498680	1500680	Nein, ich finde es nicht scheiße.
1500680	1502680	Ich habe nur gesagt, diese Hörnlichkeit hat alle ein bisschen ähnlich an.
1502680	1505680	Was hat denn das für eine repräsentative Wirkung nach außen?
1505680	1510680	Es ist doch kein Problem. Man macht einfach ein Lied an und dann überraschenderweise, das ist das Lied. Oh, schön.
1510680	1512680	Das habe ich jetzt schon lange nicht mehr gehört.
1512680	1514680	Du bist professionell bis zum geht nicht mehr.
1514680	1516680	Genau deshalb mache ich das immer.
1516680	1518680	Nein, du machst das nicht. Ich mache das.
1518680	1520680	Ich kann das viel besser.
1520680	1522680	Du bist überhaupt total unprofessionell, machst du das?
1522680	1524680	Unprofessionell? Das musst du nicht mal so professionell sein.
1524680	1526680	Ja, aber Leute wollen das hören.
1526680	1530680	Die wollen kein Larifari Trottel Gelaber hören, sondern die wollen da Qualität haben.
1530680	1533680	Was heißt denn hier Larifari Trottel Gehabe?
1533680	1535680	Wenn die Leute hier radioeinsteigen erwarten sich Qualität.
1535680	1537680	Was heißt hier Larifari Trottel Gehabe?
